run_id,created_utc,experiment_name,center,sample_level,model_family,n_samples,macro_f1,balanced_accuracy,auc_ovr_macro,accuracy,config_hash_sha256,data_fingerprint_sha256,git_commit,git_dirty
20260307_005636_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend2b__x-mexo2a_s43__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T00:56:37.016712+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend2b__x-mexo2a_s43__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.2292983502285828,0.2388888888888889,0.3359825102880658,0.25,b5632b23be89e1585592a06a6cb0981d6ee94751369285eec97df1c11cf7dd57,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_005758_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend2b__x-mexo2a_s43__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T00:57:59.035528+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend2b__x-mexo2a_s43__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.267200304936154,0.29444444444444445,0.4167695473251029,0.2857142857142857,fb7c6419cbac0ab12e9197de453853a1a4542e3925c41860c22c2712e43f06f6,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
