run_id,experiment_name,center,model_family,split,region,n_samples,n_unique_classes_true,macro_f1,balanced_accuracy,accuracy
20260306_155041_s1_1500_point_airpls_msc,s1_1500_point_airpls_msc,1500,None,cv,cortex,432,3,0.3748782155318315,0.42361111111111116,0.4236111111111111
20260306_155041_s1_1500_point_airpls_msc,s1_1500_point_airpls_msc,1500,None,cv,striatum,288,3,0.3385175983436853,0.40972222222222227,0.4097222222222222
20260306_155041_s1_1500_point_airpls_msc,s1_1500_point_airpls_msc,1500,None,cv,cerebellum,224,3,0.24447590594390453,0.28194444444444444,0.26339285714285715
20260306_155041_s1_1500_point_airpls_msc,s1_1500_point_airpls_msc,1500,None,all,cortex,432,3,0.3748782155318315,0.42361111111111116,0.4236111111111111
20260306_155041_s1_1500_point_airpls_msc,s1_1500_point_airpls_msc,1500,None,all,striatum,288,3,0.3385175983436853,0.40972222222222227,0.4097222222222222
20260306_155041_s1_1500_point_airpls_msc,s1_1500_point_airpls_msc,1500,None,all,cerebellum,224,3,0.24447590594390453,0.28194444444444444,0.26339285714285715
20260306_155246_s1_1500_point_airpls_snv,s1_1500_point_airpls_snv,1500,None,cv,cortex,432,3,0.3863198887875851,0.4259259259259259,0.42592592592592593
20260306_155246_s1_1500_point_airpls_snv,s1_1500_point_airpls_snv,1500,None,cv,striatum,288,3,0.3389850695174165,0.4166666666666667,0.4166666666666667
20260306_155246_s1_1500_point_airpls_snv,s1_1500_point_airpls_snv,1500,None,cv,cerebellum,224,3,0.26120790692296625,0.29930555555555555,0.2767857142857143
20260306_155246_s1_1500_point_airpls_snv,s1_1500_point_airpls_snv,1500,None,all,cortex,432,3,0.3863198887875851,0.4259259259259259,0.42592592592592593
20260306_155246_s1_1500_point_airpls_snv,s1_1500_point_airpls_snv,1500,None,all,striatum,288,3,0.3389850695174165,0.4166666666666667,0.4166666666666667
20260306_155246_s1_1500_point_airpls_snv,s1_1500_point_airpls_snv,1500,None,all,cerebellum,224,3,0.26120790692296625,0.29930555555555555,0.2767857142857143
20260306_155432_s1_1500_point_arpls_msc,s1_1500_point_arpls_msc,1500,None,cv,cortex,432,3,0.40221953343325006,0.4421296296296296,0.44212962962962965
20260306_155432_s1_1500_point_arpls_msc,s1_1500_point_arpls_msc,1500,None,cv,striatum,288,3,0.32523328523328526,0.3958333333333333,0.3958333333333333
20260306_155432_s1_1500_point_arpls_msc,s1_1500_point_arpls_msc,1500,None,cv,cerebellum,224,3,0.23989458590086424,0.28472222222222227,0.26339285714285715
20260306_155432_s1_1500_point_arpls_msc,s1_1500_point_arpls_msc,1500,None,all,cortex,432,3,0.40221953343325006,0.4421296296296296,0.44212962962962965
20260306_155432_s1_1500_point_arpls_msc,s1_1500_point_arpls_msc,1500,None,all,striatum,288,3,0.32523328523328526,0.3958333333333333,0.3958333333333333
20260306_155432_s1_1500_point_arpls_msc,s1_1500_point_arpls_msc,1500,None,all,cerebellum,224,3,0.23989458590086424,0.28472222222222227,0.26339285714285715
20260306_155613_s1_1500_point_arpls_snv,s1_1500_point_arpls_snv,1500,None,cv,cortex,432,3,0.37535095333318685,0.4212962962962963,0.4212962962962963
20260306_155613_s1_1500_point_arpls_snv,s1_1500_point_arpls_snv,1500,None,cv,striatum,288,3,0.3472606049635645,0.4166666666666667,0.4166666666666667
20260306_155613_s1_1500_point_arpls_snv,s1_1500_point_arpls_snv,1500,None,cv,cerebellum,224,3,0.23839049786777597,0.27777777777777773,0.26339285714285715
20260306_155613_s1_1500_point_arpls_snv,s1_1500_point_arpls_snv,1500,None,all,cortex,432,3,0.37535095333318685,0.4212962962962963,0.4212962962962963
20260306_155613_s1_1500_point_arpls_snv,s1_1500_point_arpls_snv,1500,None,all,striatum,288,3,0.3472606049635645,0.4166666666666667,0.4166666666666667
20260306_155613_s1_1500_point_arpls_snv,s1_1500_point_arpls_snv,1500,None,all,cerebellum,224,3,0.23839049786777597,0.27777777777777773,0.26339285714285715
20260306_155750_s1_1500_file_mean_arpls_msc,s1_1500_file_mean_arpls_msc,1500,None,cv,cortex,54,3,0.5515262515262515,0.5925925925925926,0.5925925925925926
20260306_155750_s1_1500_file_mean_arpls_msc,s1_1500_file_mean_arpls_msc,1500,None,cv,striatum,36,3,0.5292397660818713,0.5555555555555555,0.5555555555555556
20260306_155750_s1_1500_file_mean_arpls_msc,s1_1500_file_mean_arpls_msc,1500,None,cv,cerebellum,28,3,0.17777777777777778,0.19444444444444445,0.21428571428571427
20260306_155750_s1_1500_file_mean_arpls_msc,s1_1500_file_mean_arpls_msc,1500,None,all,cortex,54,3,0.5515262515262515,0.5925925925925926,0.5925925925925926
20260306_155750_s1_1500_file_mean_arpls_msc,s1_1500_file_mean_arpls_msc,1500,None,all,striatum,36,3,0.5292397660818713,0.5555555555555555,0.5555555555555556
20260306_155750_s1_1500_file_mean_arpls_msc,s1_1500_file_mean_arpls_msc,1500,None,all,cerebellum,28,3,0.17777777777777778,0.19444444444444445,0.21428571428571427
20260306_155847_s1_2900_file_mean_airpls_msc,s1_2900_file_mean_airpls_msc,2900,None,cv,cortex,54,3,0.40110323089046496,0.4444444444444445,0.4444444444444444
20260306_155847_s1_2900_file_mean_airpls_msc,s1_2900_file_mean_airpls_msc,2900,None,cv,striatum,36,3,0.48930002108370224,0.5,0.5
20260306_155847_s1_2900_file_mean_airpls_msc,s1_2900_file_mean_airpls_msc,2900,None,cv,cerebellum,28,3,0.19528619528619529,0.27777777777777773,0.21428571428571427
20260306_155847_s1_2900_file_mean_airpls_msc,s1_2900_file_mean_airpls_msc,2900,None,all,cortex,54,3,0.40110323089046496,0.4444444444444445,0.4444444444444444
20260306_155847_s1_2900_file_mean_airpls_msc,s1_2900_file_mean_airpls_msc,2900,None,all,striatum,36,3,0.48930002108370224,0.5,0.5
20260306_155847_s1_2900_file_mean_airpls_msc,s1_2900_file_mean_airpls_msc,2900,None,all,cerebellum,28,3,0.19528619528619529,0.27777777777777773,0.21428571428571427
20260306_155938_s1_2900_file_mean_airpls_snv,s1_2900_file_mean_airpls_snv,2900,None,cv,cortex,54,3,0.5476190476190476,0.5555555555555556,0.5555555555555556
20260306_155938_s1_2900_file_mean_airpls_snv,s1_2900_file_mean_airpls_snv,2900,None,cv,striatum,36,3,0.48662407147680636,0.5,0.5
20260306_155938_s1_2900_file_mean_airpls_snv,s1_2900_file_mean_airpls_snv,2900,None,cv,cerebellum,28,3,0.19528619528619529,0.27777777777777773,0.21428571428571427
20260306_155938_s1_2900_file_mean_airpls_snv,s1_2900_file_mean_airpls_snv,2900,None,all,cortex,54,3,0.5476190476190476,0.5555555555555556,0.5555555555555556
20260306_155938_s1_2900_file_mean_airpls_snv,s1_2900_file_mean_airpls_snv,2900,None,all,striatum,36,3,0.48662407147680636,0.5,0.5
20260306_155938_s1_2900_file_mean_airpls_snv,s1_2900_file_mean_airpls_snv,2900,None,all,cerebellum,28,3,0.19528619528619529,0.27777777777777773,0.21428571428571427
20260306_160028_s1_2900_file_mean_arpls_msc,s1_2900_file_mean_arpls_msc,2900,None,cv,cortex,54,3,0.3968253968253968,0.46296296296296297,0.46296296296296297
20260306_160028_s1_2900_file_mean_arpls_msc,s1_2900_file_mean_arpls_msc,2900,None,cv,striatum,36,3,0.5033248081841433,0.5277777777777778,0.5277777777777778
20260306_160028_s1_2900_file_mean_arpls_msc,s1_2900_file_mean_arpls_msc,2900,None,cv,cerebellum,28,3,0.1812865497076023,0.2222222222222222,0.17857142857142858
20260306_160028_s1_2900_file_mean_arpls_msc,s1_2900_file_mean_arpls_msc,2900,None,all,cortex,54,3,0.3968253968253968,0.46296296296296297,0.46296296296296297
20260306_160028_s1_2900_file_mean_arpls_msc,s1_2900_file_mean_arpls_msc,2900,None,all,striatum,36,3,0.5033248081841433,0.5277777777777778,0.5277777777777778
20260306_160028_s1_2900_file_mean_arpls_msc,s1_2900_file_mean_arpls_msc,2900,None,all,cerebellum,28,3,0.1812865497076023,0.2222222222222222,0.17857142857142858
20260306_160117_s1_2900_file_mean_arpls_snv,s1_2900_file_mean_arpls_snv,2900,None,cv,cortex,54,3,0.40151515151515155,0.46296296296296297,0.46296296296296297
20260306_160117_s1_2900_file_mean_arpls_snv,s1_2900_file_mean_arpls_snv,2900,None,cv,striatum,36,3,0.42889879846401585,0.5,0.5
20260306_160117_s1_2900_file_mean_arpls_snv,s1_2900_file_mean_arpls_snv,2900,None,cv,cerebellum,28,3,0.17777777777777778,0.2222222222222222,0.17857142857142858
20260306_160117_s1_2900_file_mean_arpls_snv,s1_2900_file_mean_arpls_snv,2900,None,all,cortex,54,3,0.40151515151515155,0.46296296296296297,0.46296296296296297
20260306_160117_s1_2900_file_mean_arpls_snv,s1_2900_file_mean_arpls_snv,2900,None,all,striatum,36,3,0.42889879846401585,0.5,0.5
