alpha_1500,alpha_2900,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
0.8,0.19999999999999996,0.4427499354494799,0.44629629629629636,0.4576271186440678,0.546345329657268
0.85,0.15000000000000002,0.4427499354494799,0.44629629629629636,0.4576271186440678,0.5435283539263
0.7,0.30000000000000004,0.4403176279606485,0.44629629629629636,0.4576271186440678,0.5479529682032891
0.75,0.25,0.4403176279606485,0.44629629629629636,0.4576271186440678,0.5477197070746492
0.9,0.09999999999999998,0.43224865022617837,0.43703703703703706,0.4491525423728814,0.5404272354850018
0.55,0.44999999999999996,0.4293241347939805,0.43756613756613755,0.4491525423728814,0.5483661990080475
0.95,0.050000000000000044,0.42505827505827504,0.42910052910052915,0.4406779661016949,0.5374159745308654
1.0,0.0,0.42505827505827504,0.42910052910052915,0.4406779661016949,0.537305270681394
0.5,0.5,0.42323317105925806,0.4296296296296296,0.4406779661016949,0.5497590390401687
0.45,0.55,0.4227737683115258,0.4296296296296296,0.4406779661016949,0.5485703522930737
0.65,0.35,0.4204554079696394,0.42870370370370364,0.4406779661016949,0.5475415333727272
0.6,0.4,0.41249384026382624,0.42037037037037034,0.4322033898305085,0.5485930991226241
0.4,0.6,0.4072310947310947,0.41997354497354494,0.4322033898305085,0.5479487754198922
0.35,0.65,0.4008675783591797,0.41203703703703703,0.423728813559322,0.5472871319950909
0.25,0.75,0.3959573946903851,0.40502645502645507,0.4152542372881356,0.543739560491807
0.3,0.7,0.3959573946903851,0.40502645502645507,0.4152542372881356,0.5464821698294099
0.2,0.8,0.38840013033561416,0.3970899470899471,0.4067796610169492,0.5408825508632954
0.15,0.85,0.3880122614725079,0.3970899470899471,0.4067796610169492,0.5399052143596431
0.05,0.95,0.375565177192211,0.3821428571428571,0.3898305084745763,0.5344293020961827
0.1,0.9,0.37180223285486447,0.3808201058201058,0.3898305084745763,0.5377149225993899
0.0,1.0,0.36822836173741225,0.3742063492063492,0.3813559322033898,0.5313418591820388
