run_id,center,model_family,macro_f1,baseline_run_id,baseline_macro_f1,delta_macro_f1,balanced_accuracy,baseline_balanced_accuracy,delta_balanced_accuracy,decision
20260306_202742_dlx_1500_single_step_residual_5f_last_chance,1500,single_step_residual,0.5429743867243867,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42,0.591530787753698,-0.04855640102931136,0.5509259259259259,0.594047619047619,-0.043121693121693117,no_go
20260306_203025_dlx_2900_inception1d_5f_last_chance,2900,inception1d,0.4263030895175497,20260306_193409_dlqs_2900_spectral_transformer_literature,0.49275362318840576,-0.06645053367085607,0.4427248677248678,0.5007936507936508,-0.05806878306878299,no_go
