center,region,band_id,wn_start,wn_end,wn_peak,score_mean_f,score_max_f,score_sum_f,n_features_in_band,n_samples,strategy,weighted_score,center_weight
2900,overall,11,2900.8125,2940.519531,2913.818359,10.849569954932266,14.605324846748845,542.4784977466132,50,118,fallback_top1_top1_a017,9.00514306259378,0.83
2900,overall,6,2700.847656,2739.902344,2723.813477,10.464040929258061,24.255439825973095,491.80992367512886,47,118,fallback_top1_top1_a017,8.68515397128419,0.83
2900,overall,16,3101.227539,3140.674805,3120.610352,8.955061980412065,14.042835574888725,465.66322298142734,52,118,fallback_top1_top1_a017,7.432701443742014,0.83
2900,overall,7,2740.74707,2780.279297,2763.501953,8.520315441959669,13.966569185784083,408.97514121406414,48,118,fallback_top1_top1_a017,7.071861816826525,0.83
2900,overall,8,2781.117188,2820.28125,2781.117188,7.321653679847721,12.560528053504518,351.4393766326906,48,118,fallback_top1_top1_a017,6.076972554273608,0.83
2900,overall,1,2501.051758,2540.145508,2536.605469,6.757152865095281,9.85424885967437,304.07187892928766,45,118,fallback_top1_top1_a017,5.608436878029083,0.83
2900,overall,10,2860.736328,2899.999023,2881.230469,6.7068592431662974,15.03790097445154,328.63610291514857,49,118,fallback_top1_top1_a017,5.566693171828026,0.83
2900,overall,5,2661.4375,2699.995117,2675.186523,6.336395033479817,11.116874662293595,291.47417154007155,46,118,fallback_top1_top1_a017,5.259207877788247,0.83
2900,overall,2,2541.030273,2580.655273,2564.847656,6.2987835591898085,12.309254385791913,289.7440437227312,46,118,fallback_top1_top1_a017,5.227990354127541,0.83
2900,overall,20,3261.345703,3284.467773,3265.083984,6.085594232948083,10.57853212843132,194.73901545433867,32,118,fallback_top1_top1_a017,5.051043213346909,0.83
2900,overall,17,3141.444336,3180.522461,3146.060547,6.0707181690271845,14.298688284747161,315.6773447894136,52,118,fallback_top1_top1_a017,5.038696080292563,0.83
2900,overall,15,3061.413086,3100.450195,3093.450195,5.73189487081012,17.069333896648786,292.3266384113161,51,118,fallback_top1_top1_a017,4.757472742772399,0.83
2900,overall,14,3021.227539,3060.628906,3021.227539,5.140712886013852,6.5845869243996775,262.17635718670647,51,118,fallback_top1_top1_a017,4.266791695391497,0.83
2900,overall,12,2941.326172,2980.663086,2960.638672,5.117444836804188,8.922956997003064,255.87224184020937,50,118,fallback_top1_top1_a017,4.247479214547475,0.83
2900,overall,9,2821.111328,2859.914063,2846.744141,4.969221216461349,13.086049526406805,238.52261839014477,48,118,fallback_top1_top1_a017,4.12445360966292,0.83
2900,overall,13,2981.461914,3020.435547,3016.474609,4.941703689407877,9.67729892136214,247.08518447039384,50,118,fallback_top1_top1_a017,4.1016140622085375,0.83
2900,overall,4,2620.798828,2660.577148,2657.132813,4.8312526985372335,10.580301351097406,227.06887683124998,47,118,fallback_top1_top1_a017,4.009939739785904,0.83
1500,overall,13,1451.255859,1489.476563,1478.887695,18.867438743269606,31.433806523612414,698.0952335009754,37,118,fallback_top1_top1_a017,3.207464586355833,0.17
2900,overall,0,2460.719727,2500.15918,2494.800781,3.7936447101815425,7.847180376886387,170.7140119581694,45,118,fallback_top1_top1_a017,3.1487251094506803,0.83
2900,overall,19,3220.75293,3260.597656,3238.84375,2.20775890819237,4.177759874220904,119.21898104238797,54,118,fallback_top1_top1_a017,1.8324398937996669,0.83
2900,overall,3,2581.532227,2619.929688,2583.285156,1.929727389919245,4.6190634973678115,86.83773254636603,45,118,fallback_top1_top1_a017,1.6016737336329734,0.83
1500,overall,12,1410.613281,1450.19043,1440.59082,8.905147376612762,23.676286354517558,338.39560031128497,38,118,fallback_top1_top1_a017,1.5138750540241697,0.17
2900,overall,18,3181.285156,3219.99707,3219.99707,1.7772937190663074,3.716780459879948,92.41927339144799,52,118,fallback_top1_top1_a017,1.475153786825035,0.83
1500,overall,14,1490.535156,1529.526367,1490.535156,6.729983587990103,23.455965876769152,255.73937634362392,38,118,fallback_top1_top1_a017,1.1440972099583175,0.17
1500,overall,9,1291.183594,1329.474609,1291.183594,5.9681559145979675,21.549284010324183,214.85361292552682,36,118,fallback_top1_top1_a017,1.0145865054816545,0.17
1500,overall,8,1250.40332,1290.084961,1290.084961,5.475016287964314,20.73668980262372,202.5756026546796,37,118,fallback_top1_top1_a017,0.9307527689539334,0.17
1500,overall,4,1090.962891,1129.568359,1127.304688,5.420698642432527,15.283553786488257,189.72445248513847,35,118,fallback_top1_top1_a017,0.9215187692135297,0.17
