fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,66,66,0,18,7,2,0.0,0.0,0.0,NaN
2,66,66,0,18,7,2,0.19607843137254902,0.4166666666666667,0.2777777777777778,NaN
3,66,66,0,18,7,2,0.2294372294372294,0.2916666666666667,0.2222222222222222,NaN
4,66,66,0,18,7,2,0.5090909090909091,0.6666666666666666,0.6666666666666666,NaN
5,72,72,0,12,8,1,0.13333333333333333,0.25,0.25,NaN
