fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,82,82,0,36,9,3,0.28412494651262304,0.38888888888888884,0.3888888888888889,0.5775462962962963
2,82,82,0,36,9,3,0.37878787878787873,0.4444444444444445,0.4444444444444444,0.6851851851851851
3,72,72,0,46,6,6,0.5554966419229409,0.5625,0.5869565217391305,0.7760679271708684
