strategy,avg_lock_overall_mean,avg_lock_worst_mean,avg_lock_win_rate
h1_router_fb_cortex_striatum,0.7261096129219333,0.6939544662816556,0.45
p2_top1_top3_a007,0.6832826511869015,0.6440524263569071,0.2125
p2_top2_top4_a005,0.6546355305322801,0.6137514335133021,0.025
p2_top4_top4_a006,0.6536189508941128,0.6124551914438809,0.025
p2_top3_top1_a033,0.6488842582702791,0.59019398054143,0.0
fallback_top1_top1_a017,0.5315057909493375,0.5457527252464931,0.2875
old_single_old2900_a011,0.5196827872347245,0.5207886194574742,0.0
baseline1500_tuned2900_a011,0.4911947553558139,0.5108671495210055,0.0
new_primary_top3_top4_a007,0.5127367247470045,0.48222654857063363,0.0
