strategy,overall_n_rows,overall_macro_f1_mean,overall_macro_f1_std,overall_balanced_accuracy_mean,overall_balanced_accuracy_std,overall_accuracy_mean,overall_accuracy_std,full_region_macro_f1_mean,cerebellum_stress_macro_f1_mean,mk3_control_macro_f1_mean,worst_slice_macro_f1,worst_slice_name
policy_mk3_fallback_else_primary,24,0.6709926726626615,0.21516216488139958,0.6990740740740741,0.20364147783299474,0.7771844849050731,0.15929803392482175,0.6289461160631682,0.6284500003318245,0.6369076101406159,0.6284500003318245,cerebellum_stress
policy_stress_fallback_else_primary,24,0.6422699787145486,0.22930967017063011,0.6736111111111112,0.21006127214909814,0.7470918923124805,0.17728706728949267,0.585862075140999,0.590153075067674,0.6369076101406159,0.585862075140999,full_region
policy_mk3_or_stress_fallback_else_primary,24,0.6422699787145486,0.22930967017063011,0.6736111111111112,0.21006127214909814,0.7470918923124805,0.17728706728949267,0.585862075140999,0.590153075067674,0.6369076101406159,0.585862075140999,full_region
policy_stress_fallback_else_oldsingle,24,0.5767907432151216,0.20780684183974873,0.6041666666666666,0.18993211488907621,0.6711659663865546,0.1653981710187648,0.585862075140999,0.590153075067674,0.6369076101406159,0.585862075140999,full_region
