split_seed,kind,run_id,macro_f1_cv,balanced_accuracy_cv,macro_f1_holdout,balanced_accuracy_holdout
11,baseline,20260307_050532_p2lk_1500_ramannet_ss11,0.6057347670250895,0.6147058823529411,0.546031746031746,0.5555555555555555
11,ramannet_se,20260307_051158_p2lk_1500_ramannet_se_ss11,0.6460526315789473,0.6480392156862745,0.597979797979798,0.6111111111111112
22,baseline,20260306_205253_p2lk_1500_ramannet_ss22,0.5855327468230694,0.5964052287581699,0.597979797979798,0.6111111111111112
22,ramannet_se,20260307_051210_p2lk_1500_ramannet_se_ss22,0.5850809238043281,0.583442265795207,0.546031746031746,0.5555555555555555
33,baseline,20260306_205307_p2lk_1500_ramannet_ss33,0.5195579488262415,0.5229847494553377,0.6481481481481483,0.6666666666666666
33,ramannet_se,20260307_051224_p2lk_1500_ramannet_se_ss33,0.6712458324828195,0.6725490196078431,0.597979797979798,0.6111111111111112
42,baseline,20260306_205307_p2lk_1500_ramannet_ss42,0.45872268638289243,0.46884531590413947,0.597979797979798,0.6111111111111112
42,ramannet_se,20260307_051237_p2lk_1500_ramannet_se_ss42,0.5435980843950484,0.541285403050109,0.597979797979798,0.6111111111111112
