split_seed,delta_cv_macro_f1,delta_holdout_macro_f1
11,0.040317864553857774,0.051948051948051965
22,-0.00045182301874135966,-0.051948051948051965
33,0.15168788365657804,-0.050168350168350306
42,0.08487539801215599,0.0
