fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,70,70,0,18,7,2,0.2571428571428571,0.25,0.2777777777777778,NaN
2,66,66,0,22,7,2,0.5686274509803921,0.6166666666666667,0.5909090909090909,NaN
3,70,70,0,18,7,2,0.37333333333333335,0.5416666666666666,0.6111111111111112,NaN
4,70,70,0,18,7,2,0.9345454545454546,0.9166666666666667,0.9444444444444444,NaN
5,76,76,0,12,8,1,0.4782608695652174,0.9166666666666666,0.9166666666666666,NaN
