fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,76,76,0,24,7,2,0.3333333333333333,0.5,0.5,NaN
2,76,76,0,24,7,2,0.4621212121212121,0.6666666666666667,0.6666666666666666,NaN
3,82,82,0,18,7,2,0.21428571428571427,0.2916666666666667,0.3333333333333333,NaN
4,78,78,0,22,7,2,0.15873015873015872,0.14166666666666666,0.13636363636363635,NaN
5,88,88,0,12,8,1,0.4782608695652174,0.9166666666666666,0.9166666666666666,NaN
