run_id,created_utc,experiment_name,center,sample_level,model_family,n_samples,macro_f1,balanced_accuracy,auc_ovr_macro,accuracy,config_hash_sha256,data_fingerprint_sha256,git_commit,git_dirty
20260307_003528_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk1__e-mend2b__x-mexo2b_s43__1500,2026-03-07T00:35:28.440275+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk1__e-mend2b__x-mexo2b_s43__1500,1500,file_mean,catboost,118,0.24278499278499277,0.2281045751633987,0.3696117559412015,0.23863636363636365,7d81d43f667d0bf5c42dc4e3ccb4dca90bb876d6cd50cbefec7e5d2a754a3d26,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_003701_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk1__e-mend2b__x-mexo2b_s43__2900,2026-03-07T00:37:01.482210+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk1__e-mend2b__x-mexo2b_s43__2900,2900,file_mean,logreg,118,0.2669905577514273,0.276797385620915,0.392731585170786,0.2840909090909091,b571b9632e6aa677d121db3dae3371ae4baa4e70b60675315318c8c8dcd3a7c1,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
