fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,94,0,24,10,2,0.1388888888888889,0.20833333333333334,0.20833333333333334,NaN
2,94,94,0,24,10,2,0.16619981325863678,0.20833333333333331,0.20833333333333334,NaN
3,96,96,0,22,10,2,0.1851851851851852,0.20833333333333334,0.22727272727272727,NaN
4,94,94,0,24,9,3,0.3055555555555555,0.3055555555555556,0.375,0.5239197530864198
5,94,94,0,24,9,3,0.3771043771043771,0.5,0.6666666666666666,NaN
