alpha_1500,alpha_2900,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
0.11,0.89,0.6027123831016739,0.6027777777777777,0.6016949152542372,0.7776652322384029
0.12,0.88,0.6027123831016739,0.6027777777777777,0.6016949152542372,0.7800388309213727
0.09,0.91,0.6021249346872941,0.6027777777777777,0.6016949152542372,0.7681568615618679
0.08,0.92,0.6008302837637052,0.6031746031746033,0.6016949152542372,0.7616999294149487
0.13,0.87,0.5940275626752699,0.5948412698412698,0.5932203389830508,0.7818807624648446
0.1,0.9,0.5934531238424146,0.5948412698412698,0.5932203389830508,0.7738721216737905
0.92,0.07999999999999996,0.591530787753698,0.594047619047619,0.5932203389830508,0.7796559684075731
0.93,0.06999999999999995,0.591530787753698,0.594047619047619,0.5932203389830508,0.7789954417521812
0.94,0.06000000000000005,0.591530787753698,0.594047619047619,0.5932203389830508,0.7783349150967892
0.95,0.050000000000000044,0.591530787753698,0.594047619047619,0.5932203389830508,0.777789716108073
0.96,0.040000000000000036,0.591530787753698,0.594047619047619,0.5932203389830508,0.7766131309616546
0.97,0.030000000000000027,0.591530787753698,0.594047619047619,0.5932203389830508,0.7759635042369317
0.98,0.020000000000000018,0.591530787753698,0.594047619047619,0.5932203389830508,0.7753077973232015
0.99,0.010000000000000009,0.591530787753698,0.594047619047619,0.5932203389830508,0.7740985123847768
1.0,0.0,0.591530787753698,0.594047619047619,0.5932203389830508,0.7736638213210743
0.74,0.26,0.5907078388223531,0.5944444444444444,0.5932203389830508,0.790793829737989
0.75,0.25,0.5907078388223531,0.5944444444444444,0.5932203389830508,0.7902438110076108
0.76,0.24,0.5907078388223531,0.5944444444444444,0.5932203389830508,0.789256691342699
0.77,0.22999999999999998,0.5907078388223531,0.5944444444444444,0.5932203389830508,0.788692102363476
0.78,0.21999999999999997,0.590568700705687,0.5944444444444444,0.5932203389830508,0.7882404311800975
0.21,0.79,0.5871368590695111,0.5861111111111111,0.5847457627118644,0.7962034738190066
0.22,0.78,0.5871368590695111,0.5861111111111111,0.5847457627118644,0.796857809261532
0.23,0.77,0.5871368590695111,0.5861111111111111,0.5847457627118644,0.797309369421051
0.2,0.8,0.5865609038324934,0.5861111111111111,0.5847457627118644,0.7941394880258809
0.24,0.76,0.5861687343445735,0.5861111111111111,0.5847457627118644,0.7983837146545748
0.25,0.75,0.5861687343445735,0.5861111111111111,0.5847457627118644,0.7994508302756057
0.26,0.74,0.5861687343445735,0.5861111111111111,0.5847457627118644,0.8002727203144405
0.31,0.69,0.5861687343445735,0.5861111111111111,0.5847457627118644,0.8017136140852443
0.32,0.6799999999999999,0.5861687343445735,0.5861111111111111,0.5847457627118644,0.8019212091099126
0.33,0.6699999999999999,0.5861687343445735,0.5861111111111111,0.5847457627118644,0.8025743951289522
