alpha_1500,alpha_2900,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
0.11,0.89,0.6031238256880861,0.6055555555555555,0.6016949152542372,0.7644118831057214
0.15,0.85,0.6010025062656641,0.605952380952381,0.6016949152542372,0.7696609279086815
0.16,0.84,0.6010025062656641,0.605952380952381,0.6016949152542372,0.7707039448214031
0.17,0.83,0.6010025062656641,0.605952380952381,0.6016949152542372,0.7705739358820232
0.18,0.8200000000000001,0.6010025062656641,0.605952380952381,0.6016949152542372,0.7720212429134122
0.09,0.91,0.5966064586754242,0.5968253968253968,0.5932203389830508,0.7629659475455367
0.1,0.9,0.5966064586754242,0.5968253968253968,0.5932203389830508,0.7638121583403996
0.14,0.86,0.5920879120879121,0.598015873015873,0.5932203389830508,0.7682840883739471
0.95,0.050000000000000044,0.591530787753698,0.594047619047619,0.5932203389830508,0.7788898645926888
0.96,0.040000000000000036,0.591530787753698,0.594047619047619,0.5932203389830508,0.7770405924128646
0.97,0.030000000000000027,0.591530787753698,0.594047619047619,0.5932203389830508,0.7758494370176013
0.98,0.020000000000000018,0.591530787753698,0.594047619047619,0.5932203389830508,0.7750953825568717
0.99,0.010000000000000009,0.591530787753698,0.594047619047619,0.5932203389830508,0.7745356133193105
1.0,0.0,0.591530787753698,0.594047619047619,0.5932203389830508,0.7736638213210743
0.08,0.92,0.5882683875237859,0.5884920634920635,0.5847457627118644,0.7614677001551199
0.12,0.88,0.5840158135663754,0.5896825396825397,0.5847457627118644,0.7652678444077674
0.77,0.22999999999999998,0.5829013293173854,0.5861111111111111,0.5847457627118644,0.7941645206407723
0.78,0.21999999999999997,0.5829013293173854,0.5861111111111111,0.5847457627118644,0.7939495849797519
0.79,0.20999999999999996,0.5829013293173854,0.5861111111111111,0.5847457627118644,0.7938220969350622
0.8,0.19999999999999996,0.5829013293173854,0.5861111111111111,0.5847457627118644,0.7931470000308254
0.81,0.18999999999999995,0.5829013293173854,0.5861111111111111,0.5847457627118644,0.7927207990269608
0.82,0.18000000000000005,0.5829013293173854,0.5861111111111111,0.5847457627118644,0.7923929455700959
0.83,0.17000000000000004,0.5829013293173854,0.5861111111111111,0.5847457627118644,0.7910768230248332
0.88,0.12,0.582702041086374,0.5861111111111111,0.5847457627118644,0.7855279680857344
0.89,0.10999999999999999,0.582702041086374,0.5861111111111111,0.5847457627118644,0.7842251553419718
0.9,0.09999999999999998,0.582702041086374,0.5861111111111111,0.5847457627118644,0.7841242869002819
0.91,0.08999999999999997,0.582702041086374,0.5861111111111111,0.5847457627118644,0.7832549047728765
0.92,0.07999999999999996,0.582702041086374,0.5861111111111111,0.5847457627118644,0.7824936206996541
0.93,0.06999999999999995,0.582702041086374,0.5861111111111111,0.5847457627118644,0.7815125812237493
0.94,0.06000000000000005,0.582702041086374,0.5861111111111111,0.5847457627118644,0.7799596121322695
0.13,0.87,0.5765251768622556,0.5813492063492063,0.576271186440678,0.7663060415788272
0.2,0.8,0.5764867856648679,0.580026455026455,0.576271186440678,0.7739322704823347
0.19,0.81,0.5761959892610146,0.5813492063492063,0.576271186440678,0.7725493507585933
0.73,0.27,0.5751895700324386,0.5777777777777778,0.576271186440678,0.7957563807371253
0.74,0.26,0.5751895700324386,0.5777777777777778,0.576271186440678,0.7955147144492459
0.75,0.25,0.5751895700324386,0.5777777777777778,0.576271186440678,0.7942993493218141
0.76,0.24,0.5751895700324386,0.5777777777777778,0.576271186440678,0.7944971938392991
0.84,0.16000000000000003,0.574928939634822,0.5777777777777778,0.576271186440678,0.7899707053750701
0.85,0.15000000000000002,0.574928939634822,0.5777777777777778,0.576271186440678,0.7891110737548478
0.86,0.14,0.574928939634822,0.5777777777777778,0.576271186440678,0.7878045906929091
0.87,0.13,0.574928939634822,0.5777777777777778,0.576271186440678,0.7864106600146394
0.07,0.9299999999999999,0.5717685557042986,0.5718253968253969,0.5677966101694916,0.7583861676287863
0.04,0.96,0.5713907503929841,0.5714285714285714,0.5677966101694916,0.7437524066054233
0.7,0.30000000000000004,0.5662370834784628,0.5698412698412699,0.5677966101694916,0.795662963955647
0.71,0.29000000000000004,0.5662227522692639,0.5698412698412699,0.5677966101694916,0.7960879045121665
0.72,0.28,0.5662227522692639,0.5698412698412699,0.5677966101694916,0.7959822163288145
0.05,0.95,0.5634920634920634,0.5634920634920634,0.559322033898305,0.7495562898804234
0.06,0.94,0.5634920634920634,0.5634920634920634,0.559322033898305,0.7560912783313296
0.03,0.97,0.5629695974523561,0.5630952380952381,0.559322033898305,0.7350293664638979
0.21,0.79,0.5589800975363542,0.5628306878306878,0.559322033898305,0.7744859595308888
0.68,0.31999999999999995,0.5584708142847677,0.5615079365079366,0.559322033898305,0.7958985500545194
0.69,0.31000000000000005,0.5584708142847677,0.5615079365079366,0.559322033898305,0.7961000648901805
0.02,0.98,0.5538896461204502,0.5543650793650793,0.5508474576271186,0.723532676019839
0.27,0.73,0.5507548928238584,0.5531746031746031,0.5508474576271186,0.7828345815027459
0.65,0.35,0.55063566917625,0.5531746031746031,0.5508474576271186,0.7986146834670582
0.66,0.33999999999999997,0.55063566917625,0.5531746031746031,0.5508474576271186,0.797514646006302
0.67,0.32999999999999996,0.55063566917625,0.5531746031746031,0.5508474576271186,0.7963271609292147
0.3,0.7,0.5493149889701613,0.5535714285714286,0.5508474576271186,0.7900668389756964
0.31,0.69,0.5493149889701613,0.5535714285714286,0.5508474576271186,0.7921744506147587
0.32,0.6799999999999999,0.5493149889701613,0.5535714285714286,0.5508474576271186,0.7919521743173861
0.33,0.6699999999999999,0.5493149889701613,0.5535714285714286,0.5508474576271186,0.7942005838026377
0.34,0.6599999999999999,0.5492115550255084,0.5535714285714286,0.5508474576271186,0.7949497074978461
0.37,0.63,0.5492115550255084,0.5535714285714286,0.5508474576271186,0.7972625042907456
0.38,0.62,0.5492115550255084,0.5535714285714286,0.5508474576271186,0.7978926300011024
0.39,0.61,0.5492115550255084,0.5535714285714286,0.5508474576271186,0.7978695696924195
0.4,0.6,0.5492115550255084,0.5535714285714286,0.5508474576271186,0.7983989379849458
0.22,0.78,0.5421785421785422,0.5452380952380952,0.5423728813559322,0.7745855675252337
0.23,0.77,0.5420008302200082,0.5452380952380952,0.5423728813559322,0.7756517818937588
0.24,0.76,0.5420008302200082,0.5452380952380952,0.5423728813559322,0.776155680006771
0.25,0.75,0.5420008302200082,0.5452380952380952,0.5423728813559322,0.778279233365883
0.26,0.74,0.5420008302200082,0.5452380952380952,0.5423728813559322,0.780490123317466
0.41,0.5900000000000001,0.5416654573698693,0.5452380952380952,0.5423728813559322,0.798265369751249
0.42,0.5800000000000001,0.5416654573698693,0.5452380952380952,0.5423728813559322,0.7993047163457946
0.43,0.5700000000000001,0.5416654573698693,0.5452380952380952,0.5423728813559322,0.7992962262859568
0.44,0.56,0.5416654573698693,0.5452380952380952,0.5423728813559322,0.7993993935746181
0.45,0.55,0.5416654573698693,0.5452380952380952,0.5423728813559322,0.7987473569790643
0.46,0.54,0.5416654573698693,0.5452380952380952,0.5423728813559322,0.7990472193617252
0.47,0.53,0.5416654573698693,0.5452380952380952,0.5423728813559322,0.7997817728080886
0.48,0.52,0.5416654573698693,0.5452380952380952,0.5423728813559322,0.8004981967112905
0.64,0.36,0.5416390499861917,0.5452380952380952,0.5423728813559322,0.7986026341129037
0.28,0.72,0.5413806751812485,0.5452380952380952,0.5423728813559322,0.7861369078313879
0.29,0.71,0.5413806751812485,0.5452380952380952,0.5423728813559322,0.7877236412377618
0.35,0.65,0.540027723992863,0.5456349206349207,0.5423728813559322,0.7956732499896814
0.36,0.64,0.540027723992863,0.5456349206349207,0.5423728813559322,0.7966323785803889
0.54,0.45999999999999996,0.5325033717190579,0.5373015873015873,0.5338983050847458,0.8013103623662032
0.55,0.44999999999999996,0.5325033717190579,0.5373015873015873,0.5338983050847458,0.8014985674003645
0.56,0.43999999999999995,0.5325033717190579,0.5373015873015873,0.5338983050847458,0.8018045099720325
0.57,0.43000000000000005,0.5325033717190579,0.5373015873015873,0.5338983050847458,0.8017680288379903
0.58,0.42000000000000004,0.5325033717190579,0.5373015873015873,0.5338983050847458,0.8018809466338349
0.59,0.41000000000000003,0.5325033717190579,0.5373015873015873,0.5338983050847458,0.8009083972177682
0.6,0.4,0.5325033717190579,0.5373015873015873,0.5338983050847458,0.8006801517552481
0.61,0.39,0.5325033717190579,0.5373015873015873,0.5338983050847458,0.8004591359052206
0.62,0.38,0.5325033717190579,0.5373015873015873,0.5338983050847458,0.8002320398661862
0.63,0.37,0.5325033717190579,0.5373015873015873,0.5338983050847458,0.7993663280569571
0.49,0.51,0.5324750830564784,0.5373015873015873,0.5338983050847458,0.8007166916666275
0.5,0.5,0.523137225530215,0.5293650793650794,0.5254237288135594,0.7999116968468701
0.51,0.49,0.523137225530215,0.5293650793650794,0.5254237288135594,0.8009728433027533
0.52,0.48,0.523137225530215,0.5293650793650794,0.5254237288135594,0.8009570126065633
0.53,0.47,0.523137225530215,0.5293650793650794,0.5254237288135594,0.8010262196558732
0.0,1.0,0.5072222222222221,0.5126984126984127,0.5084745762711864,0.681607310699095
0.01,0.99,0.5072222222222221,0.5126984126984127,0.5084745762711864,0.7187241804218698
