alpha_1500,alpha_2900,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
0.25,0.75,0.7073074158537276,0.7068783068783069,0.711864406779661,0.8304105453335234
0.15,0.85,0.703577709992231,0.7002645502645501,0.7033898305084746,0.8162045918945791
0.1,0.9,0.6961209664360576,0.6923280423280422,0.6949152542372882,0.7915517896262441
0.2,0.8,0.6919063417229997,0.6906084656084657,0.6949152542372882,0.8274568339234577
0.55,0.44999999999999996,0.6838636597672743,0.6832010582010581,0.6864406779661016,0.8160504581236289
0.6,0.4,0.6838636597672743,0.6832010582010581,0.6864406779661016,0.8139572208089537
0.5,0.5,0.6760420438212481,0.6752645502645502,0.6779661016949152,0.8204420068829568
0.4,0.6,0.6744929135544228,0.673941798941799,0.6779661016949152,0.8285999094567772
0.3,0.7,0.6721227022596885,0.6726190476190478,0.6779661016949152,0.8324683660370438
0.45,0.55,0.667588761963569,0.6669312169312169,0.6694915254237288,0.8237141281910216
0.65,0.35,0.6674950352742394,0.666005291005291,0.6694915254237288,0.8117851369616452
0.35,0.65,0.6654135338345865,0.6656084656084656,0.6694915254237288,0.8319437325855811
0.7,0.30000000000000004,0.6591499433981681,0.6576719576719577,0.6610169491525424,0.8084862850267216
0.9,0.09999999999999998,0.653532761423797,0.6501322751322752,0.652542372881356,0.7994071913680386
0.95,0.050000000000000044,0.653532761423797,0.6501322751322752,0.652542372881356,0.7964507631388248
0.75,0.25,0.6518106995884773,0.6497354497354498,0.652542372881356,0.8068848703476431
0.8,0.19999999999999996,0.6518106995884773,0.6497354497354498,0.652542372881356,0.8050443102753757
0.85,0.15000000000000002,0.6518106995884773,0.6497354497354498,0.652542372881356,0.8027690591394058
1.0,0.0,0.6453596789132449,0.6417989417989419,0.6440677966101694,0.7947290900275495
0.05,0.95,0.5889161220043574,0.5887566137566137,0.5847457627118644,0.7632240061797186
0.0,1.0,0.49275362318840576,0.5007936507936508,0.4915254237288136,0.6801618976041311
