fold,n_train,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,24,10,2,0.1388888888888889,0.20833333333333334,0.20833333333333334,NaN
2,94,24,10,2,0.2222222222222222,0.3333333333333333,0.3333333333333333,NaN
3,96,22,10,2,0.21052631578947367,0.25,0.2727272727272727,NaN
4,94,24,9,3,0.2222222222222222,0.25,0.375,0.7152777777777778
5,94,24,9,3,0.2916666666666667,0.3888888888888889,0.5833333333333334,NaN
