fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,88,88,0,30,9,3,0.29971988795518206,0.27777777777777773,0.3333333333333333,0.4614197530864197
2,94,94,0,24,10,2,0.5103785103785103,0.75,0.75,NaN
3,90,90,0,28,9,3,0.6780626780626781,0.6777777777777777,0.75,0.7780513468013468
4,100,100,0,18,10,2,0.7213622291021672,0.7916666666666667,0.7222222222222222,NaN
5,100,100,0,18,10,2,0.3241106719367589,0.45833333333333337,0.5,NaN
