fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,66,66,0,24,7,2,0.48188405797101447,0.7083333333333333,0.7083333333333334,NaN
2,72,72,0,18,7,2,0.9345454545454546,0.9166666666666667,0.9444444444444444,NaN
3,72,72,0,18,7,2,0.34848484848484845,0.45833333333333337,0.4444444444444444,NaN
4,78,78,0,12,8,1,0.24561403508771928,0.5833333333333334,0.5833333333333334,NaN
5,72,72,0,18,7,2,0.37333333333333335,0.5416666666666666,0.6111111111111112,NaN
