config_name,run_id,macro_f1,balanced_accuracy,accuracy
rs1_1500_p1_arpls_vector_catboost,20260307_055044_rs1_1500_p1_arpls_vector_catboost,0.3521775265033383,0.3585978835978836,0.3728813559322034
rs1_1500_p3_drpls_auc_catboost,20260307_055132_rs1_1500_p3_drpls_auc_catboost,0.31456176673567976,0.3244708994708995,0.3389830508474576
rs1_2900_bergholt_modpoly_max_logreg,20260307_055306_rs1_2900_bergholt_modpoly_max_logreg,0.30138147300618695,0.30873015873015874,0.3135593220338983
rs1_1500_bergholt_modpoly_max_catboost,20260307_055149_rs1_1500_bergholt_modpoly_max_catboost,0.29059839645932933,0.289021164021164,0.2966101694915254
rs1_2900_p1_airpls_vector_logreg,20260307_055209_rs1_2900_p1_airpls_vector_logreg,0.04545454545454545,0.049999999999999996,0.05084745762711865
rs1_2900_p3_drpls_auc_logreg,20260307_055218_rs1_2900_p3_drpls_auc_logreg,0.04545454545454545,0.049999999999999996,0.05084745762711865
