run_id,experiment_name,macro_f1,balanced_accuracy,accuracy,delta_macro_f1_vs_baseline,baseline_run_id
20260306_203746_p3_rmn_lr0015,p3_rmn_lr0015,0.6178931109051592,0.618915343915344,0.6186440677966102,0.026362323151461142,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42
20260306_203759_p3_rmn_seg80,p3_rmn_seg80,0.600522771575403,0.6018518518518517,0.6016949152542372,0.008991983821704963,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42
20260306_203744_p3_rmn_lr0005,p3_rmn_lr0005,0.5926594135549359,0.5945767195767195,0.6016949152542372,0.001128625801237848,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42
20260306_203805_p3_rmn_wd1e3,p3_rmn_wd1e3,0.591530787753698,0.594047619047619,0.5932203389830508,0.0,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42
20260306_203810_p3_rmn_wd1e4,p3_rmn_wd1e4,0.591530787753698,0.594047619047619,0.5932203389830508,0.0,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42
20260306_203754_p3_rmn_seg48,p3_rmn_seg48,0.5847703337792871,0.5880952380952381,0.5847457627118644,-0.00676045397441094,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42
20260306_203733_p3_rmn_drop01,p3_rmn_drop01,0.524568015652353,0.5251322751322751,0.5254237288135594,-0.06696277210134505,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42
20260306_203734_p3_rmn_drop03,p3_rmn_drop03,0.5123766070400614,0.5178571428571428,0.5254237288135594,-0.07915418071363667,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42
