run_id,macro_f1,balanced_accuracy,accuracy
20260306_192757_dlqs_1500_catboost_reference,0.45692738633915103,0.47539682539682543,0.4915254237288136
20260306_192404_dlqs_1500_ramannet_literature,0.49306218626284953,0.4953703703703704,0.5
20260306_192437_dlqs_1500_spectral_transformer_literature,0.44810819850328193,0.4490740740740741,0.4576271186440678
20260306_192641_dlqs_1500_resnet1d_literature,0.35532763532763534,0.3984126984126984,0.3898305084745763
20260306_193245_dlstb_1500_ramannet_ss11,0.6453596789132449,0.6417989417989419,0.6440677966101694
20260306_193246_dlstb_1500_ramannet_ss22,0.539332014941771,0.5411375661375661,0.5423728813559322
20260306_193301_dlstb_1500_ramannet_ss33,0.5896431754057802,0.589021164021164,0.5932203389830508
20260306_193949_dlqs_1500_ramannet_literature_5f_ss42,0.591530787753698,0.594047619047619,0.5932203389830508
20260306_193351_dlqs_2900_ramannet_literature,0.46730421173409376,0.528968253968254,0.5254237288135594
20260306_193409_dlqs_2900_spectral_transformer_literature,0.49275362318840576,0.5007936507936508,0.4915254237288136
20260306_193903_dlqs_2900_resnet1d_literature,0.3608194622279129,0.4425925925925926,0.4576271186440678
20260306_194456_dlstb_2900_spectral_transformer_ss11,0.46060606060606063,0.4896825396825397,0.4915254237288136
20260306_194457_dlstb_2900_spectral_transformer_ss22,0.4822309473472264,0.5007936507936508,0.4915254237288136
20260306_194529_dlstb_2900_spectral_transformer_ss33,0.3965367965367965,0.5055555555555555,0.4915254237288136
20260306_172427_p5_1500_file_mean_arpls_msc_catboost,0.4099113197704747,0.4173280423280423,0.4322033898305085
20260306_172915_p5_2900_file_mean_airpls_snv_logreg,0.3903785103785104,0.39312169312169315,0.3983050847457627
