center,variant,n_runs,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std,acc_mean,acc_std,delta_macro_f1_mean_vs_control,delta_bal_acc_mean_vs_control
1500,control,3,0.40511160680914604,0.011217997949510438,0.41750440917107584,0.014601481127684307,0.4322033898305085,0.014678396674312536,0.0,0.0
1500,despike_on,3,0.3969794974439716,0.03164135567563349,0.4067460317460318,0.035351874717634714,0.4209039548022599,0.03528247456722261,-0.008132109365174445,-0.010758377425044041
2900,despike_on,3,0.40891629870553053,0.042065173274668397,0.4171957671957672,0.03811819561042626,0.423728813559322,0.03693982155542943,0.02013858465544971,0.02010582010582007
2900,control,3,0.3887777140500808,0.051205781574446683,0.3970899470899471,0.05019714918487089,0.40395480225988695,0.04965648539900267,0.0,0.0
