ensemble_1500,ensemble_2900,alpha_1500,alpha_2900,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1500_top4,2900_top3,0.08,0.92,0.7804072380104037,0.7753968253968253,0.7796610169491526,0.7826060552151693
1500_top3,2900_top4,0.06,0.94,0.7750677506775068,0.7753968253968253,0.7796610169491526,0.7664332292060149
1500_top3,2900_top3,0.07,0.9299999999999999,0.7727444027613615,0.7674603174603174,0.7711864406779662,0.7792778146115759
1500_top2,2900_top4,0.07,0.9299999999999999,0.7670634920634921,0.7674603174603174,0.7711864406779662,0.7784595361135797
1500_top2,2900_top3,0.04,0.96,0.7665805340223946,0.7595238095238095,0.7627118644067796,0.7704139178465237
1500_top4,2900_top4,0.18,0.8200000000000001,0.762998004124075,0.7613756613756614,0.7627118644067796,0.8284416743338437
1500_top3,2900_top2,0.36,0.64,0.7491849751948972,0.7494708994708995,0.7542372881355932,0.8412539256730526
1500_top4,2900_top2,0.24,0.76,0.7188853284314943,0.7178571428571429,0.7203389830508474,0.8435411347317637
1500_top2,2900_top2,0.25,0.75,0.709644055674754,0.7085978835978836,0.711864406779661,0.8337382112253743
