seed,alpha_1500,alpha_2900,macro_f1,balanced_accuracy,accuracy
11,0.95,0.050000000000000044,0.653532761423797,0.6501322751322752,0.652542372881356
22,0.5,0.5,0.583420122808823,0.5869047619047619,0.5847457627118644
33,0.8,0.19999999999999996,0.6169507074556296,0.6144179894179894,0.6186440677966102
