seed,run_1500,run_2900,alpha_1500,alpha_2900,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro,sweep_csv
11,20260306_204308_p3_rmn_lr0015_ss11,20260306_204403_p4_tr_patch8_ss11,0.55,0.44999999999999996,0.6456759545923633,0.6439153439153439,0.6440677966101694,0.7901940723185908,runs/fusion_sweep_tuned_ss11_alpha001.csv
22,20260306_204308_p3_rmn_lr0015_ss22,20260306_204411_p4_tr_patch8_ss22,0.53,0.47,0.560290404040404,0.561111111111111,0.5677966101694916,0.7490505174234313,runs/fusion_sweep_tuned_ss22_alpha001.csv
33,20260306_204323_p3_rmn_lr0015_ss33,20260306_204456_p4_tr_patch8_ss33,0.64,0.36,0.5935070568215942,0.5923280423280424,0.5932203389830508,0.7181972546542509,runs/fusion_sweep_tuned_ss33_alpha001.csv
