alpha_1500,alpha_2900,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
0.8,0.19999999999999996,0.6169507074556296,0.6144179894179894,0.6186440677966102,0.7337665876176788
0.75,0.25,0.60921357790428,0.6064814814814814,0.6101694915254238,0.7374076150873327
0.65,0.35,0.6012756969278709,0.598941798941799,0.6016949152542372,0.7435523612031956
0.6,0.4,0.6010893246187364,0.598941798941799,0.6016949152542372,0.7467491952729436
0.85,0.15000000000000002,0.6004892773575047,0.5977513227513228,0.6016949152542372,0.7305503635574239
0.9,0.09999999999999998,0.6004892773575047,0.5977513227513228,0.6016949152542372,0.7279788354563707
0.7,0.30000000000000004,0.5933493153172787,0.5906084656084656,0.5932203389830508,0.739862555074365
0.95,0.050000000000000044,0.5913671023965142,0.5894179894179895,0.5932203389830508,0.7266263428009255
1.0,0.0,0.5896431754057802,0.589021164021164,0.5932203389830508,0.7238313889790141
0.5,0.5,0.5841495918707313,0.5830687830687831,0.5847457627118644,0.7501375455001899
0.55,0.44999999999999996,0.5831457885387122,0.5817460317460318,0.5847457627118644,0.7463932135947541
0.35,0.65,0.5658325414422974,0.5715608465608466,0.5677966101694916,0.7511776300768599
0.45,0.55,0.5592592592592592,0.5592592592592592,0.559322033898305,0.7518664221006968
0.4,0.6,0.5570058009817046,0.5604497354497354,0.559322033898305,0.7519025440398996
0.3,0.7,0.5297671307328902,0.5517195767195767,0.5423728813559322,0.7468515919254045
0.25,0.75,0.4998692855031939,0.5384920634920635,0.5254237288135594,0.7357265309928981
0.2,0.8,0.45299482765428206,0.5044973544973544,0.4915254237288136,0.7314089567780196
0.15,0.85,0.44954486463920423,0.5123015873015873,0.5,0.7286343790997192
0.1,0.9,0.4384122581071263,0.5126984126984128,0.5,0.7162231524715478
0.0,1.0,0.3965367965367965,0.5055555555555555,0.4915254237288136,0.6676707207355475
0.05,0.95,0.3965367965367965,0.5055555555555555,0.4915254237288136,0.7003285979698046
