fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,72,72,0,18,7,2,0.7777777777777777,0.75,0.8333333333333334,NaN
2,72,72,0,18,7,2,0.45751633986928103,0.75,0.6666666666666666,NaN
3,72,72,0,18,7,2,0.1851851851851852,0.20833333333333334,0.2777777777777778,NaN
4,66,66,0,24,7,2,0.7822141560798548,0.7916666666666667,0.7916666666666666,NaN
5,78,78,0,12,8,1,0.4782608695652174,0.9166666666666666,0.9166666666666666,NaN
