fold,n_train,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,24,10,2,0.2606516290726817,0.3333333333333333,0.3333333333333333,NaN
2,94,24,10,2,0.14682539682539683,0.16666666666666666,0.16666666666666666,NaN
3,96,22,10,2,0.0,0.0,0.0,NaN
4,94,24,9,3,0.43443051201671895,0.4444444444444445,0.5416666666666666,0.7314814814814815
5,94,24,9,3,0.2528735632183908,0.3055555555555556,0.4583333333333333,NaN
