fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,94,0,24,10,2,0.2512820512820513,0.2916666666666667,0.2916666666666667,NaN
2,94,94,0,24,10,2,0.09999999999999999,0.125,0.125,NaN
3,96,96,0,22,10,2,0.047619047619047616,0.041666666666666664,0.045454545454545456,NaN
4,94,94,0,24,9,3,0.16541353383458646,0.16666666666666666,0.16666666666666666,0.4398148148148149
5,94,94,0,24,9,3,0.2717948717948718,0.3055555555555555,0.375,NaN
