fold,n_train,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,24,10,2,0.3625730994152046,0.45833333333333337,0.4583333333333333,NaN
2,94,24,10,2,0.18414322250639384,0.25,0.25,NaN
3,96,22,10,2,0.0,0.0,0.0,NaN
4,94,24,9,3,0.13333333333333333,0.3333333333333333,0.25,0.26003086419753085
5,94,24,9,3,0.38779956427015244,0.5277777777777778,0.7083333333333334,NaN
