fold,n_train,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,24,10,2,0.3827751196172249,0.5,0.5,NaN
2,94,24,10,2,0.20105820105820105,0.25,0.25,NaN
3,96,22,10,2,0.0,0.0,0.0,NaN
4,94,24,9,3,0.13333333333333333,0.3333333333333333,0.25,0.23765432098765435
5,94,24,9,3,0.3238095238095238,0.4722222222222222,0.7083333333333334,NaN
