fold,n_train,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,24,10,2,0.20855614973262035,0.25,0.25,NaN
2,94,24,10,2,0.2568627450980392,0.29166666666666663,0.2916666666666667,NaN
3,96,22,10,2,0.044444444444444446,0.041666666666666664,0.045454545454545456,NaN
4,94,24,9,3,0.38369963369963367,0.38888888888888884,0.4583333333333333,0.7445987654320988
5,94,24,9,3,0.317948717948718,0.41666666666666663,0.5416666666666666,NaN
