strategy,n_rows,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,slice
new_primary_top3_top4_a007,7,0.37852483982672863,0.09924229372919169,0.43015873015873013,0.09926982096537373,0.4237528344671202,0.1301878493227808,cerebellum_stress
fallback_top1_top1_a017,7,0.3756388369407257,0.10122264568131585,0.4261904761904762,0.1042173597990292,0.4197845804988662,0.13377713927004733,cerebellum_stress
h1_router_region_permute_fb_cortex_striatum,7,0.3750872686259995,0.10166203177648342,0.4261904761904762,0.1042173597990292,0.4197845804988662,0.13377713927004733,cerebellum_stress
h1_router_fb_cortex_striatum,7,0.3750872686259995,0.10166203177648342,0.4261904761904762,0.1042173597990292,0.4197845804988662,0.13377713927004733,cerebellum_stress
h1_random_router_p50,7,0.3750872686259995,0.10166203177648342,0.4261904761904762,0.1042173597990292,0.4197845804988662,0.13377713927004733,cerebellum_stress
new_primary_top3_top4_a007,6,0.40642139465853117,0.07267606316452312,0.45925925925925926,0.06864352960315051,0.45866402116402116,0.10050277258975461,full_region
fallback_top1_top1_a017,6,0.4030543912915278,0.07734133944683971,0.45462962962962966,0.07899184726385616,0.45403439153439157,0.1078052471793092,full_region
h1_router_fb_cortex_striatum,6,0.40241089492434723,0.07830022855353935,0.45462962962962966,0.07899184726385616,0.45403439153439157,0.1078052471793092,full_region
h1_router_region_permute_fb_cortex_striatum,6,0.40241089492434723,0.07830022855353935,0.45462962962962966,0.07899184726385616,0.45403439153439157,0.1078052471793092,full_region
h1_random_router_p50,6,0.40241089492434723,0.07830022855353935,0.45462962962962966,0.07899184726385616,0.45403439153439157,0.1078052471793092,full_region
new_primary_top3_top4_a007,8,0.407911743808961,0.12389814032087573,0.45625000000000004,0.11786749727376182,0.4506448412698413,0.14252385180878718,overall
fallback_top1_top1_a017,8,0.4053864912837085,0.12594320067355066,0.4527777777777778,0.12233039945734381,0.447172619047619,0.14608402604487214,overall
h1_router_fb_cortex_striatum,8,0.4049038690083231,0.12637623708460505,0.4527777777777778,0.12233039945734381,0.447172619047619,0.14608402604487214,overall
h1_router_region_permute_fb_cortex_striatum,8,0.4049038690083231,0.12637623708460505,0.4527777777777778,0.12233039945734381,0.447172619047619,0.14608402604487214,overall
h1_random_router_p50,8,0.4049038690083231,0.12637623708460505,0.4527777777777778,0.12233039945734381,0.447172619047619,0.14608402604487214,overall
