fold,n_train,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,76,42,8,4,0.638763197586727,0.6944444444444445,0.6428571428571429,0.8902777777777778
2,78,40,8,4,0.3317307692307692,0.5277777777777778,0.375,0.7602354072942309
3,82,36,8,4,0.33012345679012345,0.39814814814814814,0.3333333333333333,0.5652263374485598
