fold,n_train,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,608,336,8,4,0.32261681931415614,0.43171296296296297,0.37202380952380953,0.6004846643518519
2,624,320,8,4,0.2531435424972596,0.39109848484848486,0.290625,0.6279202653283537
3,656,288,8,4,0.27904876144600704,0.40972222222222215,0.3229166666666667,0.6116765528549383
