fold,n_train,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,24,10,2,0.34545454545454546,0.45833333333333337,0.4583333333333333,NaN
2,94,24,10,2,0.2929292929292929,0.375,0.375,NaN
3,96,22,10,2,0.1851851851851852,0.20833333333333334,0.22727272727272727,NaN
4,94,24,9,3,0.3716153127917834,0.38888888888888884,0.4583333333333333,0.5254629629629629
5,94,24,9,3,0.3137254901960784,0.4444444444444444,0.6666666666666666,NaN
