config_name,run_id,center,kind,macro_f1_cv,balanced_accuracy_cv,macro_f1_holdout,balanced_accuracy_holdout,delta_vs_baseline_cv,delta_vs_baseline_holdout
p2lk_1500_ramannet_ss11,20260307_050532_p2lk_1500_ramannet_ss11,1500,baseline,0.6057347670250895,0.6147058823529411,0.546031746031746,0.5555555555555555,0.0,0.0
a4_1500_ramannet_se_ss11,20260307_050544_a4_1500_ramannet_se_ss11,1500,candidate,0.6558905087444746,0.652723311546841,0.597979797979798,0.6111111111111112,0.05015574171938508,0.051948051948051965
a4_1500_ramannet_multiscale_ss11,20260307_050704_a4_1500_ramannet_multiscale_ss11,1500,candidate,0.5652717652717653,0.5810457516339869,0.2814814814814815,0.3333333333333333,-0.04046300175332429,-0.2645502645502645
p2lk_2900_trpatch8_ss11,20260307_050541_p2lk_2900_trpatch8_ss11,2900,baseline,0.5330529857022709,0.5398692810457516,0.16666666666666666,0.3333333333333333,0.0,0.0
a4_2900_tr_patchmix_ss11,20260307_050607_a4_2900_tr_patchmix_ss11,2900,candidate,0.5139573070607554,0.5620915032679739,0.16666666666666666,0.3333333333333333,-0.019095678641515512,0.0
a4_2900_tr_attnpool_ss11,20260307_050610_a4_2900_tr_attnpool_ss11,2900,candidate,0.5139573070607554,0.5620915032679739,0.16666666666666666,0.3333333333333333,-0.019095678641515512,0.0
