fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,88,88,0,30,9,3,0.19047619047619047,0.3333333333333333,0.4,0.5532407407407408
2,94,94,0,24,10,2,0.3333333333333333,0.5,0.5,NaN
3,90,90,0,28,9,3,0.19999999999999998,0.3333333333333333,0.42857142857142855,0.7020412457912458
4,100,100,0,18,10,2,0.4,0.5,0.6666666666666666,NaN
5,100,100,0,18,10,2,0.0,0.0,0.0,NaN
