fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,70,70,0,18,7,2,0.0,0.0,0.0,NaN
2,66,66,0,22,7,2,0.12345679012345678,0.25,0.22727272727272727,NaN
3,70,70,0,18,7,2,0.336231884057971,0.45833333333333337,0.5,NaN
4,70,70,0,18,7,2,0.6989966555183946,0.7083333333333333,0.7222222222222222,NaN
5,76,76,0,12,8,1,0.4782608695652174,0.9166666666666666,0.9166666666666666,NaN
