fold,n_train,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,24,10,2,0.3333333333333333,0.4583333333333333,0.4583333333333333,NaN
2,94,24,10,2,0.30158730158730157,0.375,0.375,NaN
3,96,22,10,2,0.1762820512820513,0.175,0.18181818181818182,NaN
4,94,24,9,3,0.31666666666666665,0.3055555555555556,0.375,0.5671296296296297
5,94,24,9,3,0.4719576719576719,0.6388888888888888,0.7916666666666666,NaN
