fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,64,64,0,18,7,2,0.3793103448275862,0.4583333333333333,0.6111111111111112,NaN
2,64,64,0,18,7,2,0.2528735632183908,0.4583333333333333,0.6111111111111112,NaN
3,64,64,0,18,7,2,0.45394736842105265,0.7083333333333334,0.6666666666666666,NaN
4,70,70,0,12,8,1,0.4782608695652174,0.9166666666666666,0.9166666666666666,NaN
5,66,66,0,16,7,2,0.5,0.5333333333333333,0.625,NaN
