fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,82,82,0,36,9,3,0.32695374800637955,0.4166666666666667,0.4166666666666667,0.5613425925925927
2,82,82,0,36,9,3,0.46736596736596736,0.47222222222222227,0.4722222222222222,0.7037037037037037
3,72,72,0,46,6,6,0.5577518456775423,0.5694444444444445,0.6086956521739131,0.7628793183940242
