strategy,n_rows,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,slice
new_primary_top3_top4_a007,9,0.3935484773552259,0.08709877016245951,0.42530864197530865,0.08880686802244579,0.4359399315281668,0.10953016613753448,cerebellum_stress
h1_router_fb_cortex_striatum,9,0.3812644518970225,0.09378929553191827,0.4191358024691358,0.10176342963179472,0.42415188297541234,0.12800411933406244,cerebellum_stress
fallback_top1_top1_a017,9,0.37091729441663346,0.09933943816818044,0.4148148148148148,0.10529939678347144,0.4122471210706505,0.13833499860868542,cerebellum_stress
new_primary_top3_top4_a007,8,0.39586703702462916,0.09281511141340662,0.43333333333333335,0.09138364195870444,0.44578956582633056,0.11275115270540488,full_region
h1_router_fb_cortex_striatum,8,0.38204750838415036,0.1002335179708733,0.4263888888888889,0.1062736642388808,0.4325280112044818,0.13417949108563745,full_region
fallback_top1_top1_a017,8,0.3790875117742682,0.10291495468467868,0.425,0.10772621905369616,0.42806372549019606,0.13891451456318837,full_region
new_primary_top3_top4_a007,12,0.4100593757901047,0.12025875086219888,0.44861111111111107,0.10976776321228607,0.45658457827575477,0.13609692191696557,overall
h1_router_fb_cortex_striatum,12,0.4025591685147627,0.10670298320751807,0.4439814814814815,0.10752960945636848,0.44913243075007775,0.14295599455815933,overall
fallback_top1_top1_a017,12,0.39479880040447085,0.1120158018235146,0.4407407407407407,0.11079078404882504,0.44020385932150635,0.15150294639919445,overall
