fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,70,70,0,24,7,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,NaN
2,72,72,0,22,7,2,0.23232323232323235,0.31666666666666665,0.3181818181818182,NaN
3,76,76,0,18,7,2,0.3429951690821256,0.5,0.5555555555555556,NaN
4,76,76,0,18,7,2,0.6727272727272727,0.6666666666666667,0.7222222222222222,NaN
5,82,82,0,12,8,1,1.0,1.0,1.0,NaN
