fold,n_train,n_valid,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,76,42,0.4226010101010101,0.46296296296296297,0.42857142857142855,0.7027777777777778
2,78,40,0.28679962013295346,0.36616161616161613,0.375,0.49100953512718215
3,82,36,0.41860916860916864,0.5092592592592592,0.4166666666666667,0.6734567901234568
