fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,66,66,0,22,7,2,0.6459770114942529,0.6583333333333333,0.6818181818181818,NaN
2,70,70,0,18,7,2,0.41558441558441556,0.41666666666666663,0.4444444444444444,NaN
3,70,70,0,18,7,2,0.3793103448275862,0.4583333333333333,0.6111111111111112,NaN
4,70,70,0,18,7,2,0.24242424242424243,0.3333333333333333,0.4444444444444444,NaN
5,76,76,0,12,8,1,0.26666666666666666,0.6666666666666666,0.6666666666666666,NaN
