fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,76,76,0,18,7,2,0.3793103448275862,0.4583333333333333,0.6111111111111112,NaN
2,70,70,0,24,7,2,0.2501906941266209,0.33333333333333337,0.3333333333333333,NaN
3,72,72,0,22,7,2,0.3602693602693603,0.5166666666666666,0.5,NaN
4,76,76,0,18,7,2,0.6296296296296295,0.625,0.7222222222222222,NaN
5,82,82,0,12,8,1,0.4782608695652174,0.9166666666666666,0.9166666666666666,NaN
