fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,88,88,0,30,9,3,0.38855218855218854,0.3611111111111111,0.4,0.45138888888888884
2,94,94,0,24,10,2,0.452991452991453,0.6666666666666667,0.6666666666666666,NaN
3,90,90,0,28,9,3,0.42604521914866744,0.4777777777777778,0.5357142857142857,0.7675610269360269
4,100,100,0,18,10,2,0.5566502463054187,0.5833333333333334,0.7222222222222222,NaN
5,100,100,0,18,10,2,0.3241106719367589,0.45833333333333337,0.5,NaN
