fold,n_train,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,24,10,2,0.21052631578947367,0.25,0.25,NaN
2,94,24,10,2,0.13921568627450978,0.16666666666666666,0.16666666666666666,NaN
3,96,22,10,2,0.08888888888888889,0.08333333333333333,0.09090909090909091,NaN
4,94,24,9,3,0.4917898193760262,0.5,0.5833333333333334,0.7577160493827161
5,94,24,9,3,0.26666666666666666,0.3333333333333333,0.5,NaN
