fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,64,64,0,18,7,2,0.33699633699633696,0.5416666666666666,0.3888888888888889,NaN
2,64,64,0,18,7,2,0.21052631578947367,0.25,0.3333333333333333,NaN
3,64,64,0,18,7,2,0.48666666666666664,0.6666666666666666,0.7777777777777778,NaN
4,70,70,0,12,8,1,0.0,0.0,0.0,NaN
5,66,66,0,16,7,2,0.10526315789473684,0.1875,0.1875,NaN
