fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,94,0,24,10,2,0.35555555555555557,0.45833333333333337,0.4583333333333333,NaN
2,94,94,0,24,10,2,0.4672364672364672,0.6666666666666666,0.6666666666666666,NaN
3,96,96,0,22,10,2,0.08333333333333333,0.08333333333333333,0.09090909090909091,NaN
4,94,94,0,24,9,3,0.255,0.27777777777777773,0.375,0.6435185185185185
5,94,94,0,24,9,3,0.4842105263157895,0.5277777777777778,0.5,0.6527777777777778
