fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,94,0,24,10,2,0.41904761904761906,0.625,0.625,NaN
2,94,94,0,24,10,2,0.22923976608187133,0.25,0.25,NaN
3,90,90,0,28,9,3,0.38095238095238093,0.4222222222222222,0.42857142857142855,0.564151936026936
4,94,94,0,24,9,3,0.42122984228247384,0.47222222222222227,0.4583333333333333,0.6705246913580248
5,100,100,0,18,10,2,0.3904761904761904,0.5,0.5,NaN
