fold,n_train,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,94,24,10,2,0.3333333333333333,0.4583333333333333,0.4583333333333333,NaN
2,94,24,10,2,0.22857142857142856,0.25,0.25,NaN
3,96,22,10,2,0.044444444444444446,0.041666666666666664,0.045454545454545456,NaN
4,94,24,9,3,0.39147025813692476,0.38888888888888884,0.4583333333333333,0.5625
5,94,24,9,3,0.40277777777777773,0.5555555555555556,0.6666666666666666,NaN
